Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,NameASCII,PlayerId,MLBAMID
"Shay Whitcomb","HOU",0.29126214,0.7012987,0.46666667,0.7,0.90740741,0.83333333,0.42777778,0.58695652,0.07734807,0.16022099,0.23756906,"Shay Whitcomb",27789,694376
"Ty France","- - -",0.32013479,0.78333333,0.51208683,0.60789474,0.88905775,0.78612717,0.41440553,0.62429907,0.10935961,0.12807882,0.23743842,"Ty France",17982,664034
"Jasson Domínguez","NYY",0.32098765,0.73275862,0.49280576,0.63461538,0.87058824,0.7810219,0.41726619,0.71641791,0.10791367,0.1294964,0.23741007,"Jasson Dominguez",28080,691176
"Ernie Clement","TOR",0.4645006,0.70502431,0.56698895,0.81865285,0.92643678,0.87576127,0.42610497,0.70575221,0.07039337,0.16701173,0.23740511,"Ernie Clement",20352,676391
"Javier Sanoja","MIA",0.40983607,0.70175439,0.55084746,0.72,0.95,0.86153846,0.48305085,0.72222222,0.07627119,0.16101695,0.23728814,"Javier Sanoja",28253,691594
"Yandy Díaz","TBR",0.25624082,0.66545123,0.43879626,0.77077364,0.9260274,0.87581094,0.44611631,0.58293076,0.05444941,0.18203982,0.23648923,"Yandy Diaz",16578,650490
"Bobby Witt Jr.","KCR",0.35448718,0.74783446,0.51173528,0.69981917,0.88416988,0.8075188,0.39976914,0.61495063,0.09838586,0.13797079,0.23635665,"Bobby Witt Jr.",25764,677951
"Joshua Palacios","PIT",0.25414365,0.71428571,0.44299674,0.67391304,0.83333333,0.77941176,0.41042345,0.56410256,0.09708738,0.13915858,0.23624595,"Joshua Palacios",19818,641943
"Yainer Diaz","HOU",0.45747126,0.79586877,0.58834586,0.65494137,0.8870229,0.77635783,0.38674812,0.66882068,0.13151714,0.10427431,0.23579145,"Yainer Diaz",23003,673237
"Ryan O'Hearn","BAL",0.29234973,0.70072993,0.4671875,0.69781931,0.92013889,0.84057971,0.428125,0.55263158,0.07447917,0.16041667,0.23489583,"Ryan O'Hearn",16442,656811
"Nick Loftin","KCR",0.26329787,0.67871486,0.4288,0.68686869,0.95857988,0.85820896,0.3984,0.64912281,0.06060606,0.1738437,0.23444976,"Nick Loftin",27630,679845
"Miguel Rojas","LAD",0.30057803,0.67822736,0.46242775,0.78846154,0.92613636,0.875,0.42857143,0.57863501,0.05766063,0.17627677,0.2339374,"Miguel Rojas",7802,500743
"Christian Yelich","MIL",0.29081633,0.72107438,0.45504732,0.66666667,0.88538682,0.79896014,0.38170347,0.54285714,0.09148265,0.14195584,0.23343849,"Christian Yelich",11477,592885
"Mike Tauchman","CHC",0.25681818,0.73059361,0.45933637,0.68141593,0.86458333,0.80594901,0.42745608,0.62285714,0.08896104,0.14350649,0.23246753,"Mike Tauchman",15274,643565
"Andrés Chaparro","WSN",0.35294118,0.78995434,0.5352381,0.59259259,0.9017341,0.78291815,0.41714286,0.6969697,0.11619048,0.11619048,0.23238095,"Andres Chaparro",21797,665953
"Willie Calhoun","LAA",0.27372263,0.65365854,0.43632568,0.76,0.94029851,0.87559809,0.42797495,0.60629921,0.05422315,0.17726799,0.23149114,"Willie Calhoun",17838,641432
"Curtis Mead","TBR",0.41156463,0.71428571,0.52452026,0.76033058,0.856,0.80894309,0.37313433,0.62121212,0.09957627,0.13135593,0.2309322,"Curtis Mead",23986,678554
"Luis Matos","SFG",0.42532468,0.69491525,0.54227941,0.77099237,0.93902439,0.86440678,0.43382353,0.61538462,0.07326007,0.15750916,0.23076923,"Luis Matos",26467,682641
"Marcus Semien","TEX",0.30314708,0.78671656,0.5,0.64194915,0.90368609,0.80959634,0.40708302,0.60306407,0.09516559,0.13475447,0.22992006,"Marcus Semien",12533,543760
"Josh Naylor","CLE",0.35479256,0.73672316,0.50284713,0.69758065,0.86656442,0.79355401,0.38764783,0.59873618,0.10353866,0.12625601,0.22979467,"Josh Naylor",18839,647304
"Keibert Ruiz","WSN",0.40473738,0.68895349,0.52260398,0.82951654,0.93459916,0.88696655,0.41470766,0.64742268,0.0589651,0.17027677,0.22924188,"Keibert Ruiz",19610,660688
"Nick Madrigal","CHC",0.38317757,0.67361111,0.5,0.82926829,0.94845361,0.89385475,0.40223464,0.59574468,0.05307263,0.17597765,0.22905028,"Nick Madrigal",20521,663611
"Luisangel Acuña","NYM",0.34246575,0.77777778,0.54411765,0.68,0.85714286,0.7972973,0.46323529,0.725,0.11029412,0.11764706,0.22794118,"Luisangel Acuna",26548,682668
"Kyle Tucker","HOU",0.20924262,0.69649123,0.41512231,0.65030675,0.89420655,0.82321429,0.42253521,0.54277286,0.07322485,0.1545858,0.22781065,"Kyle Tucker",18345,663656
"Ketel Marte","ARI",0.29258354,0.73311547,0.48111888,0.67409471,0.87964339,0.80813953,0.42797203,0.58147513,0.09213588,0.13541182,0.2275477,"Ketel Marte",13613,606466
"Bryce Harper","PHI",0.36602564,0.80528053,0.52774403,0.58143608,0.88251366,0.75057559,0.36816525,0.61806656,0.13136621,0.09579628,0.22716249,"Bryce Harper",11579,547180
"Bo Bichette","TOR",0.40520984,0.79089027,0.56388416,0.64642857,0.92146597,0.80513595,0.41141397,0.67261905,0.10933558,0.11774601,0.22708158,"Bo Bichette",19612,666182
"Omar Narváez","NYM",0.3006993,0.75396825,0.51301115,0.76744186,0.88421053,0.84782609,0.46840149,0.62318841,0.07806691,0.14869888,0.2267658,"Omar Narvaez",13338,553882
"Jacob Wilson","OAK",0.38990826,0.66412214,0.49283668,0.82352941,0.94252874,0.88372093,0.37535817,0.63106796,0.05730659,0.16905444,0.22636103,"Jacob Wilson",33266,805779
"Luis Arraez","- - -",0.36818182,0.64748858,0.49482402,0.90740741,0.96614951,0.94225941,0.45341615,0.61011905,0.02853598,0.19768404,0.22622002,"Luis Arraez",18568,650333
"Vinnie Pasquantino","KCR",0.33811802,0.67425968,0.47654784,0.78066038,0.94256757,0.875,0.41181989,0.59566787,0.05945693,0.16573034,0.22518727,"Vinnie Pasquantino",27676,686469
"Jurickson Profar","SDP",0.25997426,0.707173,0.45345016,0.72029703,0.90453461,0.84460548,0.43263965,0.6002994,0.07038658,0.15426696,0.22465354,"Jurickson Profar",10815,595777
"Xavier Edwards","MIA",0.26093514,0.72988506,0.46751055,0.75722543,0.88976378,0.84837545,0.44050633,0.60066007,0.0706476,0.15222876,0.22287637,"Xavier Edwards",22266,669364
"Santiago Espinal","CIN",0.3062201,0.71407186,0.48736702,0.73828125,0.94129979,0.87039563,0.44414894,0.60102302,0.06299735,0.15981432,0.22281167,"Santiago Espinal",19997,669289
"Alec Bohm","PHI",0.31031543,0.7278481,0.49693541,0.70054945,0.92318841,0.84629981,0.44695898,0.60726073,0.07630711,0.14460669,0.2209138,"Alec Bohm",21618,664761
"Bryce Johnson","SDP",0.29411765,0.77272727,0.49429658,0.64444444,0.91764706,0.82307692,0.41825095,0.71232877,0.08745247,0.13307985,0.22053232,"Bryce Johnson",20002,669369
"Jonah Heim","TEX",0.36435644,0.7769131,0.5429534,0.70108696,0.89649416,0.8221303,0.43290286,0.6496945,0.09646663,0.12338755,0.21985418,"Jonah Heim",16930,641680
"Cedric Mullins","BAL",0.30669145,0.73867596,0.49870934,0.68787879,0.89465409,0.82401656,0.44450181,0.61523046,0.0877193,0.13054696,0.21826625,"Cedric Mullins",17929,656775
"Luis Rengifo","LAA",0.40153846,0.79723502,0.5599631,0.65900383,0.89017341,0.7907743,0.400369,0.67105263,0.11694291,0.10128913,0.21823204,"Luis Rengifo",19858,650859
"José Ramírez","CLE",0.34830769,0.70630631,0.49360146,0.78268551,0.92219388,0.8637037,0.40585009,0.54545455,0.06715328,0.15,0.21715328,"Jose Ramirez",13510,608070
"Will Brennan","CLE",0.38848921,0.75140187,0.54634146,0.77037037,0.89054726,0.8422619,0.43495935,0.64589235,0.08610885,0.13078798,0.21689683,"Will Brennan",25660,686823
"Mauricio Dubón","HOU",0.44522968,0.81530782,0.59862069,0.78835979,0.86938776,0.83410138,0.41448276,0.6635514,0.09931034,0.1137931,0.21310345,"Mauricio Dubon",16530,643289
"Alec Burleson","STL",0.3869637,0.78232044,0.55597544,0.74200426,0.88841808,0.83007647,0.42749173,0.63529412,0.09442871,0.1170916,0.2115203,"Alec Burleson",27615,676475
"Freddie Freeman","LAD",0.3067649,0.76482021,0.49365583,0.75327511,0.86022872,0.82088353,0.40800952,0.59717868,0.08835182,0.12242472,0.21077655,"Freddie Freeman",5361,518692
"Jackson Merrill","SDP",0.3832,0.80685358,0.56755535,0.70146138,0.87644788,0.80971338,0.4351559,0.65430017,0.10794941,0.10207769,0.2100271,"Jackson Merrill",29490,701538
"Jake Fraley","CIN",0.36551724,0.83636364,0.57969925,0.67924528,0.86166008,0.79896239,0.45488722,0.67277487,0.11636637,0.09309309,0.20945946,"Jake Fraley",19260,641584
"Corey Seager","TEX",0.31734317,0.82360406,0.53044872,0.58430233,0.89060092,0.78449144,0.42094017,0.61726079,0.11431624,0.09241453,0.20673077,"Corey Seager",13624,608369
"Ozzie Albies","ATL",0.37040816,0.85052317,0.56519102,0.7107438,0.86818981,0.80686695,0.40570042,0.62988506,0.10902483,0.09024833,0.19927317,"Ozzie Albies",16556,645277
"Jeff McNeil","NYM",0.3490566,0.80184941,0.54938632,0.7027027,0.91598023,0.84042553,0.44243133,0.6059322,0.08746356,0.11078717,0.19825073,"Jeff McNeil",15362,643446
"Nathan Lukes","TOR",0.33990148,0.73202614,0.50842697,0.82608696,0.89285714,0.86740331,0.42977528,0.64835165,0.06741573,0.12640449,0.19382022,"Nathan Lukes",18123,664770
